"year";"term";"sub_code";"sub_name";"division";"credit"
2014;1;"CAE0001";"일반물리1";"핵교A";2
2014;1;"CAE0009";"대학수학1";"핵교A";2
2014;2;"CAE0010";"대학수학2";"핵교A";2
2014;1;"CAS0001";"통계학";"핵교A";2
2014;2;"CBE0004";"미분방정식의이해";"핵교B";2
2014;2;"CBE0005";"일반화학";"핵교B";2
2015;2;"CBEN004";"세계화와국제이해";"핵교B";2
2015;1;"COM0001";"확률및통계";"전선";3
2014;1;"COM0002";"컴퓨터프로그래밍1";"전기";3
2014;1;"COM0004";"이산수학";"전기";3
2014;2;"COM0005";"컴퓨터프로그래밍2";"전기";3
2015;1;"COM0009";"자료구조";"전지";3
2015;2;"COM0010";"컴퓨터구조";"전선";3
2015;2;"COM0012";"알고리즘";"전선";3
2015;2;"COM0040";"네트워크통신";"전선";3
2015;1;"COM0053";"논리회로설계";"전선";3
2015;1;"COM0054";"프로그래밍언어론";"전선";3
2014;2;"COM0055";"창의적공학설계";"전선";3
2015;2;"COM0066";"소프";"전선";3
2016;1;"CSE0006";"객체지향언어1";"전선";3
2016;1;"CSE0012";"객체지향언어2";"전선";3
2016;1;"CSE0017";"운영체제";"전지";3
2016;1;"CSE0019";"데이터베이스";"전지";3
2016;1;"CSE0023";"웹서버프로그래밍";"전선";3
2016;1;"CSE0024";"영상처리";"전선";3
2014;1;"GEN0001";"시사영어1";"일교";2
2015;1;"GEN0008";"한문1";"일교";2
2015;1;"GEN0019";"경제학개론";"일교";2
2014;2;"GEN0084";"일본어2";"일교";2
2015;1;"GEN0290";"문화인류학의세계";"일교";2
2014;1;"REQ0013";"사고와 표현1";"교필";2
2014;2;"REQ0014";"사고와표현2";"교필";2
2014;2;"REQ0015";"대학과지성";"교필";2
2014;1;"REQ0112";"영커 독해/작문2";"교필";1
2014;1;"REQ0122";"영커 청취/회화2";"교필";1
